edunum	position	chars	words	zwords	parentnum	dist	zdist	children	zchildren
35	0.9459459459459459	296	56	16.902363669080252	0	0	1.998097062398628	8	13.544112312083707
1	0.02702702702702703	40	6	-6.467870103564342	35	-34	-20.246204747313534	1	-2.4050292890615923
3	0.08108108108108109	90	9	-5.0656560772056665	35	-32	-18.93771640556576	3	2.151868311265636
7	0.1891891891891892	42	9	-5.0656560772056665	35	-28	-16.32073972207021	2	-0.1265804888979781
12	0.32432432432432434	153	28	3.8150327563992796	18	-6	-1.9273679628446945	1	-2.4050292890615923
10	0.2702702702702703	48	10	-4.5982514017527745	12	-2	0.6896087206508539	1	-2.4050292890615923
18	0.4864864864864865	174	27	3.3476280809463876	35	-17	-9.124053842457453	5	6.708765911592864
13	0.35135135135135137	50	7	-6.0004654281114504	18	-5	-1.2731237919708074	1	-2.4050292890615923
14	0.3783783783783784	68	11	-4.1308467262998825	13	1	2.6523412332725154	1	-2.4050292890615923
17	0.4594594594594595	97	16	-1.7938233490354234	18	-1	1.343852891524741	1	-2.4050292890615923
19	0.5135135135135135	133	22	1.0106047036819281	18	1	2.6523412332725154	1	-2.4050292890615923
21	0.5675675675675675	149	21	0.5432000282290361	18	3	3.9608295750202895	1	-2.4050292890615923
25	0.6756756756756757	118	19	-0.39160932267674764	28	-3	0.0353645497769668	3	2.151868311265636
28	0.7567567567567568	126	19	-0.39160932267674764	35	-7	-2.581612133718582	3	2.151868311265636
26	0.7027027027027027	203	36	7.554270160022415	25	1	2.6523412332725154	1	-2.4050292890615923
31	0.8378378378378378	116	24	1.9454140545877119	35	-4	-0.6188796210969203	2	-0.1265804888979781
34	0.918918918918919	92	16	-1.7938233490354234	31	3	3.9608295750202895	1	-2.4050292890615923
31	0.5740740740740741	206	39	14.132508347327226	0	0	-1.15619550249471	6	15.545454545454543
3	0.05555555555555555	183	29	7.000214415031242	8	-5	-6.832064332923285	3	4.090909090909091
8	0.14814814814814814	244	39	14.132508347327226	31	-23	-27.265192122466157	3	4.090909090909091
4	0.07407407407407407	181	35	11.279590774408833	3	1	-0.021021736408994816	2	0.2727272727272726
9	0.16666666666666666	96	17	-1.5585383037239384	8	1	-0.021021736408994816	2	0.2727272727272726
12	0.2222222222222222	103	18	-0.84530891049434	8	4	3.38449956184815	2	0.2727272727272726
18	0.3333333333333333	210	46	19.125114099934414	12	6	5.65484709401958	5	11.727272727272725
14	0.25925925925925924	153	26	4.860526235342447	18	-4	-5.6968905668375704	1	-3.5454545454545454
15	0.2777777777777778	106	17	-1.5585383037239384	14	1	-0.021021736408994816	1	-3.5454545454545454
20	0.37037037037037035	115	18	-0.84530891049434	18	2	1.1141520296767202	1	-3.5454545454545454
21	0.3888888888888889	166	33	9.853131987949636	18	3	2.2493257957624353	1	-3.5454545454545454
22	0.4074074074074074	145	27	5.573755628572045	21	1	-0.021021736408994816	1	-3.5454545454545454
24	0.4444444444444444	92	16	-2.2717676969535368	18	6	5.65484709401958	2	0.2727272727272726
26	0.48148148148148145	141	22	2.0076086624240532	24	2	1.1141520296767202	1	-3.5454545454545454
27	0.5	175	31	8.426673201490438	26	1	-0.021021736408994816	1	-3.5454545454545454
28	0.5185185185185185	137	25	4.147296842112849	27	1	-0.021021736408994816	1	-3.5454545454545454
29	0.5370370370370371	118	18	-0.84530891049434	28	1	-0.021021736408994816	1	-3.5454545454545454
32	0.5925925925925926	39	7	-8.690832236019922	31	1	-0.021021736408994816	1	-3.5454545454545454
34	0.6296296296296297	96	18	-0.84530891049434	31	3	2.2493257957624353	5	11.727272727272725
37	0.6851851851851852	83	14	-3.6982264834127334	34	3	2.2493257957624353	3	4.090909090909091
41	0.7592592592592593	43	7	-8.690832236019922	34	7	6.790020860105295	2	0.2727272727272726
47	0.8703703703703703	82	14	-3.6982264834127334	31	16	17.00658475487673	2	0.2727272727272726
48	0.8888888888888888	59	13	-4.411455876642332	47	1	-0.021021736408994816	1	-3.5454545454545454
49	0.9074074074074074	62	10	-6.551144056331127	48	1	-0.021021736408994816	2	0.2727272727272726
50	0.9259259259259259	59	10	-6.551144056331127	49	1	-0.021021736408994816	1	-3.5454545454545454
52	0.9629629629629629	76	14	-3.6982264834127334	49	3	2.2493257957624353	1	-3.5454545454545454
53	0.9814814814814815	35	7	-8.690832236019922	52	1	-0.021021736408994816	1	-3.5454545454545454
18	0.2571428571428571	192	30	13.792896571237932	0	0	-1.9654083604938326	8	13.201493398202883
1	0.014285714285714285	79	11	-3.3997486393960425	18	-17	-19.29011909373576	1	-2.892462036684902
9	0.12857142857142856	144	24	8.363640188932466	10	-1	-2.9845089918610053	1	-2.892462036684902
4	0.05714285714285714	111	21	5.649011997779734	9	-5	-7.0609115173296955	1	-2.892462036684902
5	0.07142857142857142	81	14	-0.6851204482433095	4	1	-0.9463077291266602	3	1.7058109447116079
10	0.14285714285714285	170	27	11.0782683800852	18	-8	-10.118213411431212	4	4.004947435409862
11	0.15714285714285714	115	18	2.934383806627001	10	1	-0.9463077291266602	1	-2.892462036684902
14	0.2	78	12	-2.494872575678465	10	4	2.110994164974857	2	-0.5933255459866469
16	0.22857142857142856	226	38	21.031905080978554	14	2	0.07279290224051228	1	-2.892462036684902
26	0.37142857142857144	30	7	-7.019252894266353	18	8	6.1873966904435465	12	22.398039360995902
22	0.3142857142857143	65	14	-0.6851204482433095	26	-4	-6.041810885962523	2	-0.5933255459866469
23	0.32857142857142857	68	11	-3.3997486393960425	22	1	-0.9463077291266602	1	-2.892462036684902
24	0.34285714285714286	95	14	-0.6851204482433095	23	1	-0.9463077291266602	1	-2.892462036684902
37	0.5285714285714286	101	19	3.839259870344579	26	11	9.244698584545064	1	-2.892462036684902
46	0.6571428571428571	115	21	5.649011997779734	18	28	26.569409317787	4	4.004947435409862
40	0.5714285714285714	83	15	0.21975561547426808	41	-1	-2.9845089918610053	1	-2.892462036684902
41	0.5857142857142857	82	20	4.7441359340621565	46	-5	-7.0609115173296955	2	-0.5933255459866469
42	0.6	83	18	2.934383806627001	41	1	-0.9463077291266602	1	-2.892462036684902
43	0.6142857142857143	49	10	-4.30462470311362	42	1	-0.9463077291266602	1	-2.892462036684902
47	0.6714285714285714	72	12	-2.494872575678465	46	1	-0.9463077291266602	1	-2.892462036684902
48	0.6857142857142857	115	18	2.934383806627001	47	1	-0.9463077291266602	1	-2.892462036684902
53	0.7571428571428571	162	33	16.507524762390663	18	35	33.7031137373572	3	1.7058109447116079
52	0.7428571428571429	51	7	-7.019252894266353	53	-1	-2.9845089918610053	1	-2.892462036684902
57	0.8142857142857143	87	14	-0.6851204482433095	18	39	37.779516262825894	5	6.304083926108118
61	0.8714285714285714	56	10	-4.30462470311362	57	4	2.110994164974857	4	4.004947435409862
64	0.9142857142857143	218	44	26.461161463284018	61	3	1.0918935336076847	2	-0.5933255459866469
65	0.9285714285714286	114	20	4.7441359340621565	64	1	-0.9463077291266602	1	-2.892462036684902
70	1.0	101	16	1.1246316791918458	67	3	1.0918935336076847	1	-2.892462036684902
68	0.9714285714285714	118	20	4.7441359340621565	70	-2	-4.0036096232281775	1	-2.892462036684902
67	0.9571428571428572	151	22	6.553888061497312	61	6	4.149195427709202	1	-2.892462036684902
6	0.1276595744680851	206	41	12.178841563381486	0	0	-3.596167417032222	5	10.90328704030212
2	0.0425531914893617	144	27	4.383435193045865	6	-4	-9.277507538057916	1	-3.4352822181773797
3	0.06382978723404255	74	13	-3.411971177289756	2	1	-2.1758323867757983	1	-3.4352822181773797
4	0.0851063829787234	19	4	-8.423303843934084	3	1	-2.1758323867757983	1	-3.4352822181773797
7	0.14893617021276595	131	24	2.7129909708310893	6	1	-2.1758323867757983	1	-3.4352822181773797
12	0.2553191489361702	198	36	9.394767859690193	6	6	4.925842764506321	4	7.318644725682245
9	0.19148936170212766	81	16	-1.7415269550749801	12	-3	-7.857172507801493	2	0.14936009644249504
13	0.2765957446808511	248	46	14.962915267072779	12	1	-2.1758323867757983	2	0.14936009644249504
16	0.3404255319148936	170	31	6.6106941559989	12	4	2.0851727039934733	1	-3.4352822181773797
18	0.3829787234042553	102	17	-1.1847122143367215	12	6	4.925842764506321	2	0.14936009644249504
19	0.40425531914893614	130	27	4.383435193045865	18	1	-2.1758323867757983	4	7.318644725682245
21	0.44680851063829785	45	9	-5.639230140242791	19	2	-0.7554973565193743	1	-3.4352822181773797
24	0.5106382978723404	209	42	12.735656304119745	19	5	3.505507734249897	1	-3.4352822181773797
27	0.574468085106383	42	9	-5.639230140242791	18	9	9.186847855275593	3	3.7340024110623697
29	0.6170212765957447	32	6	-7.309674362457566	27	2	-0.7554973565193743	1	-3.4352822181773797
30	0.6382978723404256	54	9	-5.639230140242791	27	3	0.6648376737370494	3	3.7340024110623697
34	0.723404255319149	264	50	17.190174230025814	6	28	36.17321343014764	5	10.90328704030212
35	0.7446808510638298	194	38	10.50839734116671	34	1	-2.1758323867757983	1	-3.4352822181773797
37	0.7872340425531915	199	34	8.281138378213676	34	3	0.6648376737370494	1	-3.4352822181773797
39	0.8297872340425532	60	11	-4.525600658766273	34	5	3.505507734249897	3	3.7340024110623697
42	0.8936170212765957	11	2	-9.536933325410601	39	3	0.6648376737370494	1	-3.4352822181773797
45	0.9574468085106383	64	11	-4.525600658766273	34	11	12.02751791578844	1	-3.4352822181773797
46	0.9787234042553191	116	19	-0.0710827328602042	45	1	-2.1758323867757983	1	-3.4352822181773797
12	0.1643835616438356	175	30	17.043438191086036	0	0	-2.710808314627423	4	14.054671449867822
